age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
49,local_gov,hs_grad,married,protective-serv,husband,white,0,0,0,40,united-states,1
33,private,master,married,prof-specialty,husband,white,0,0,0,50,united-states,0
30,private,below_hs_grad,unmarried,sales,other_relative,white,0,0,0,40,united-states,0
43,federal_gov,doctorate,unmarried,prof-specialty,other_relative,white,1,0,0,50,united-states,1
57,private,associate,married,prof-specialty,husband,white,0,0,0,40,united-states,0
37,private,bachelors,divorced,craft-repair,other_relative,white,1,0,0,40,united-states,0
28,private,bachelors,divorced,machine-op-inspct,other_relative,black,1,0,0,25,united-states,0
30,private,hs_grad,married,sales,wife,asian_pac_islander,1,0,1573,35,?,0
34,local_gov,bachelors,married,protective-serv,husband,white,0,0,0,40,united-states,1
29,local_gov,bachelors,unmarried,handlers-cleaners,other_relative,white,0,0,0,50,united-states,0
48,self_emp_not_inc,doctorate,married,prof-specialty,husband,white,0,0,1902,60,united-states,1
37,private,bachelors,married,sales,husband,white,0,0,0,48,united-states,1
48,private,associate,divorced,exec-managerial,other_relative,white,1,0,0,40,england,0
32,federal_gov,hs_grad,unmarried,other-service,child,black,0,0,0,40,united-states,0
76,private,master,married,exec-managerial,husband,white,0,0,0,40,united-states,1
44,private,bachelors,married,exec-managerial,husband,white,0,15024,0,60,united-states,1
47,self_emp_not_inc,master,unmarried,prof-specialty,other_relative,white,1,0,0,50,united-states,0
20,private,bachelors,unmarried,tech-support,child,white,1,0,0,40,united-states,0
29,private,hs_grad,unmarried,craft-repair,other_relative,white,0,0,0,40,united-states,0
32,self_emp_inc,hs_grad,married,craft-repair,husband,white,0,7688,0,40,united-states,1
17,unknown,below_hs_grad,unmarried,unknown,child,white,1,34095,0,32,united-states,0
30,private,hs_grad,unmarried,handlers-cleaners,child,white,0,0,0,40,united-states,0
31,local_gov,hs_grad,unmarried,adm-clerical,other_relative,white,1,0,0,40,united-states,0
42,private,hs_grad,married,handlers-cleaners,husband,white,0,0,0,40,united-states,0
24,private,bachelors,unmarried,sales,other_relative,white,0,0,0,40,united-states,0
38,private,bachelors,married,prof-specialty,husband,white,0,0,0,40,united-states,1
56,self_emp_not_inc,hs_grad,married,other-service,husband,white,0,0,1887,50,canada,1
28,private,bachelors,married,sales,wife,white,1,4064,0,25,united-states,0
36,private,hs_grad,unmarried,machine-op-inspct,child,white,1,0,0,40,united-states,0
53,private,below_hs_grad,married,handlers-cleaners,husband,white,0,0,0,50,united-states,0
56,self_emp_inc,bachelors,married,sales,husband,white,0,0,0,50,united-states,0
49,local_gov,associate,married,craft-repair,husband,black,0,0,0,40,united-states,1
55,private,bachelors,married,sales,husband,white,0,0,0,56,united-states,0
22,private,hs_grad,unmarried,craft-repair,other_relative,white,0,0,0,41,united-states,0
21,private,bachelors,unmarried,other-service,child,white,1,0,0,40,united-states,0
40,private,bachelors,married,exec-managerial,husband,white,0,0,0,60,united-states,0
30,private,bachelors,unmarried,exec-managerial,child,black,0,0,0,40,germany,0
29,state_gov,bachelors,married,prof-specialty,husband,white,0,0,0,50,united-states,1
19,private,bachelors,unmarried,other-service,child,black,0,0,0,35,united-states,0
47,private,bachelors,married,exec-managerial,wife,white,1,0,0,40,united-states,1
20,private,bachelors,unmarried,adm-clerical,child,white,1,0,1719,28,united-states,0
31,private,associate,married,adm-clerical,husband,white,0,0,0,40,united-states,1
35,unknown,hs_grad,married,unknown,husband,white,0,0,0,40,united-states,0
39,private,bachelors,divorced,craft-repair,other_relative,white,0,0,0,40,united-states,0
28,private,associate,unmarried,sales,other_relative,white,1,0,0,60,united-states,0
24,private,hs_grad,unmarried,other-service,other_relative,white,1,0,1762,40,united-states,0
38,self_emp_not_inc,hs_grad,married,craft-repair,husband,white,0,4386,0,35,united-states,0
37,private,bachelors,married,sales,husband,white,0,0,0,50,united-states,0
46,private,associate,divorced,tech-support,other_relative,black,1,0,0,36,united-states,0
38,federal_gov,master,married,prof-specialty,husband,white,0,0,0,40,iran,1
43,self_emp_not_inc,hs_grad,married,craft-repair,husband,white,0,0,0,60,united-states,0
27,private,associate,married,adm-clerical,wife,white,1,0,0,35,united-states,0
20,private,bachelors,unmarried,sales,child,white,0,0,0,20,united-states,0
49,private,bachelors,married,craft-repair,husband,asian_pac_islander,0,0,0,40,united-states,1
61,self_emp_inc,hs_grad,married,craft-repair,husband,white,0,0,0,40,united-states,0
27,private,bachelors,unmarried,sales,child,white,1,0,0,40,united-states,0
19,private,bachelors,unmarried,other-service,child,white,0,0,0,30,mexico,0
45,private,associate,unmarried,prof-specialty,other_relative,white,1,0,1564,40,united-states,1
70,private,bachelors,unmarried,tech-support,other_relative,white,0,0,0,40,united-states,0
31,private,hs_grad,unmarried,transport-moving,other_relative,black,1,0,0,30,united-states,0
22,private,bachelors,married,other-service,husband,white,0,0,0,24,united-states,0
36,private,hs_grad,widowed,other-service,other_relative,white,1,0,0,24,united-states,0
64,private,hs_grad,married,craft-repair,husband,white,0,0,2179,40,united-states,0
43,unknown,bachelors,divorced,unknown,other_relative,white,1,0,0,40,united-states,0
47,local_gov,bachelors,divorced,adm-clerical,other_relative,white,1,0,0,38,mexico,0
34,private,hs_grad,unmarried,adm-clerical,other_relative,white,1,0,0,40,united-states,0
33,private,bachelors,unmarried,exec-managerial,other_relative,asian_pac_islander,1,0,0,40,philippines,0
21,private,hs_grad,unmarried,craft-repair,child,white,0,0,0,35,united-states,0
52,unknown,hs_grad,divorced,unknown,other_relative,white,0,0,0,45,united-states,1
48,private,hs_grad,married,craft-repair,husband,white,0,0,0,46,united-states,0
23,private,bachelors,unmarried,handlers-cleaners,other_relative,white,0,0,0,40,united-states,0
71,self_emp_not_inc,bachelors,separated,sales,other_relative,black,0,0,1816,2,united-states,0
29,private,hs_grad,divorced,craft-repair,other_relative,white,0,0,0,60,united-states,0
42,private,bachelors,separated,other-service,other_relative,black,0,0,0,50,united-states,0
68,unknown,below_hs_grad,divorced,unknown,other_relative,white,1,0,0,20,united-states,0
25,private,hs_grad,unmarried,other-service,other_relative,white,1,0,0,40,united-states,0
44,self_emp_inc,master,divorced,exec-managerial,other_relative,asian_pac_islander,1,0,0,40,united-states,0
28,private,hs_grad,unmarried,exec-managerial,other_relative,asian_pac_islander,1,0,0,40,england,0
45,self_emp_not_inc,master,married,sales,husband,white,0,0,0,40,united-states,1
36,private,bachelors,divorced,other-service,other_relative,white,1,0,0,40,mexico,0
39,federal_gov,associate,unmarried,exec-managerial,other_relative,white,0,0,0,42,united-states,0
46,state_gov,master,widowed,protective-serv,other_relative,white,0,0,0,40,united-states,0
18,private,hs_grad,unmarried,handlers-cleaners,child,white,0,0,0,16,united-states,0
66,local_gov,associate,widowed,prof-specialty,other_relative,white,1,0,0,20,united-states,0
27,private,hs_grad,unmarried,other-service,other_relative,white,0,0,1980,40,united-states,0
28,state_gov,hs_grad,married,protective-serv,husband,white,0,0,0,40,united-states,0
51,private,bachelors,married,sales,husband,white,0,0,1977,40,united-states,1
27,private,bachelors,unmarried,craft-repair,other_relative,white,0,0,0,50,united-states,0
28,state_gov,bachelors,married,prof-specialty,husband,white,0,0,0,40,united-states,1
27,private,hs_grad,separated,sales,other_relative,white,1,0,0,25,united-states,0
21,private,hs_grad,unmarried,craft-repair,child,black,0,0,0,40,united-states,0
34,private,hs_grad,unmarried,handlers-cleaners,other_relative,black,0,0,0,40,united-states,0
18,private,hs_grad,unmarried,other-service,child,white,0,0,0,12,united-states,0
33,private,bachelors,married,prof-specialty,husband,white,0,0,0,65,united-states,0
44,local_gov,bachelors,married,exec-managerial,husband,black,0,0,0,38,united-states,1
43,private,bachelors,divorced,adm-clerical,other_relative,white,1,0,0,40,united-states,0
30,private,bachelors,unmarried,craft-repair,other_relative,black,0,0,0,45,united-states,0
40,private,below_hs_grad,married,machine-op-inspct,husband,white,0,0,0,40,mexico,1
37,federal_gov,bachelors,married,adm-clerical,husband,white,0,0,0,42,united-states,1
34,private,hs_grad,married,adm-clerical,husband,black,0,0,0,40,united-states,0
41,self_emp_not_inc,bachelors,divorced,exec-managerial,other_relative,white,1,0,0,40,united-states,0
53,unknown,bachelors,divorced,unknown,other_relative,white,1,0,0,50,united-states,0
31,private,master,married,prof-specialty,wife,white,1,0,0,50,united-states,0
58,state_gov,doctorate,married,prof-specialty,husband,white,0,0,0,1,united-states,1
38,private,bachelors,divorced,machine-op-inspct,other_relative,black,1,0,0,28,united-states,0
24,private,bachelors,married,machine-op-inspct,husband,white,0,0,0,40,united-states,0
41,local_gov,bachelors,married,craft-repair,husband,black,0,0,0,40,united-states,0
47,private,bachelors,married,tech-support,husband,white,0,0,0,45,united-states,0
41,federal_gov,bachelors,married,tech-support,husband,white,0,0,0,24,united-states,0
23,private,below_hs_grad,married,transport-moving,other_relative,white,0,0,0,40,mexico,0
36,private,bachelors,divorced,craft-repair,other_relative,white,0,0,0,40,united-states,0
40,federal_gov,master,unmarried,exec-managerial,other_relative,white,1,14084,0,55,united-states,1
35,private,master,married,prof-specialty,other_relative,white,0,7298,0,40,united-states,1
24,self_emp_not_inc,hs_grad,unmarried,sales,other_relative,white,0,0,0,40,united-states,0
26,private,master,unmarried,prof-specialty,other_relative,white,1,0,1876,40,united-states,0
19,unknown,hs_grad,unmarried,unknown,child,white,0,0,0,40,italy,0
51,private,bachelors,married,exec-managerial,husband,white,0,0,0,50,united-states,1
42,local_gov,bachelors,unmarried,prof-specialty,other_relative,white,1,0,1340,40,united-states,0
37,state_gov,hs_grad,divorced,adm-clerical,other_relative,white,1,0,0,35,united-states,0
18,private,hs_grad,unmarried,sales,child,white,1,0,0,40,united-states,0
36,private,bachelors,married,other-service,husband,black,0,7298,0,36,united-states,1
35,private,hs_grad,divorced,craft-repair,other_relative,white,0,0,0,60,united-states,0
58,self_emp_inc,hs_grad,married,sales,wife,white,1,15024,0,35,united-states,1
17,private,hs_grad,unmarried,sales,child,white,1,0,0,12,united-states,0
44,local_gov,hs_grad,married,transport-moving,husband,black,0,0,0,40,united-states,0
37,private,hs_grad,married,craft-repair,husband,white,0,0,0,40,united-states,1
35,private,bachelors,unmarried,sales,other_relative,amer_indian_eskimo,1,0,0,40,united-states,0
60,private,hs_grad,married,craft-repair,husband,asian_pac_islander,0,0,0,40,united-states,0
54,self_emp_inc,below_hs_grad,married,machine-op-inspct,husband,white,0,0,0,40,united-states,1
37,private,bachelors,unmarried,exec-managerial,other_relative,black,0,0,0,60,united-states,1
50,private,associate,divorced,sales,other_relative,white,1,0,0,40,united-states,0
38,private,bachelors,married,sales,husband,white,0,0,0,50,poland,0
45,private,bachelors,married,prof-specialty,husband,white,0,0,0,55,united-states,0
25,private,below_hs_grad,unmarried,craft-repair,other_relative,white,0,0,0,40,united-states,0
31,private,bachelors,married,handlers-cleaners,husband,white,0,0,0,40,united-states,0
64,unknown,below_hs_grad,divorced,unknown,other_relative,white,0,0,0,40,united-states,0
90,private,hs_grad,unmarried,other-service,other_relative,black,0,0,2206,40,united-states,0
54,private,hs_grad,married,adm-clerical,husband,black,0,0,0,20,united-states,0
53,local_gov,below_hs_grad,unmarried,machine-op-inspct,other_relative,white,1,0,0,35,united-states,0
18,private,hs_grad,unmarried,sales,child,white,1,0,0,40,united-states,0
60,unknown,below_hs_grad,divorced,unknown,other_relative,amer_indian_eskimo,1,0,0,10,united-states,0
66,self_emp_not_inc,hs_grad,married,farming-fishing,husband,white,0,1409,0,50,united-states,0
75,private,associate,widowed,adm-clerical,other_relative,white,1,0,0,20,columbia,0
65,private,hs_grad,divorced,adm-clerical,other_relative,white,1,0,0,40,united-states,0
35,private,hs_grad,separated,transport-moving,other_relative,black,0,3674,0,40,united-states,0
41,private,hs_grad,divorced,sales,other_relative,black,1,0,0,38,united-states,0
25,private,bachelors,unmarried,adm-clerical,other_relative,white,0,0,0,42,united-states,0
33,private,bachelors,divorced,craft-repair,other_relative,other,1,0,0,40,united-states,0
28,private,bachelors,unmarried,prof-specialty,other_relative,white,0,0,0,55,united-states,1
59,state_gov,hs_grad,married,other-service,husband,white,0,0,0,40,united-states,0
40,state_gov,bachelors,unmarried,adm-clerical,other_relative,white,1,0,0,38,united-states,0
41,private,bachelors,married,exec-managerial,husband,white,0,0,0,50,iran,1
38,local_gov,master,married,exec-managerial,husband,white,0,0,0,70,united-states,1
23,private,hs_grad,unmarried,transport-moving,child,white,0,0,0,40,united-states,0
40,private,bachelors,married,prof-specialty,husband,white,0,0,0,40,united-states,1
41,self_emp_not_inc,hs_grad,married,other-service,wife,white,1,0,0,20,united-states,0
24,state_gov,associate,married,protective-serv,husband,white,0,0,0,50,united-states,0
20,unknown,bachelors,unmarried,unknown,child,white,0,0,0,20,united-states,0
38,private,bachelors,divorced,craft-repair,other_relative,white,0,0,1741,40,united-states,0
56,private,hs_grad,married,adm-clerical,husband,white,0,0,0,35,?,0
58,private,hs_grad,married,adm-clerical,husband,white,0,0,0,45,united-states,1
32,private,hs_grad,unmarried,other-service,other_relative,white,1,0,0,34,united-states,0
40,private,associate,married,tech-support,husband,white,0,0,1977,60,united-states,1
45,private,hs_grad,married,adm-clerical,husband,white,0,0,0,40,?,0
41,private,bachelors,married,prof-specialty,wife,white,1,0,0,40,united-states,1
42,private,bachelors,married,adm-clerical,wife,black,1,0,0,40,united-states,0
59,local_gov,below_hs_grad,widowed,other-service,other_relative,black,1,0,0,30,united-states,0
19,local_gov,bachelors,unmarried,adm-clerical,child,white,0,0,0,40,united-states,0
58,private,bachelors,unmarried,transport-moving,other_relative,white,0,0,0,20,united-states,0
42,self_emp_not_inc,hs_grad,married,farming-fishing,husband,asian_pac_islander,0,0,0,40,cambodia,1
20,private,hs_grad,unmarried,other-service,child,white,1,0,0,40,united-states,0
32,private,hs_grad,separated,other-service,other_relative,white,1,0,0,30,united-states,0
45,private,associate,widowed,exec-managerial,other_relative,white,1,0,0,45,united-states,0
50,private,below_hs_grad,divorced,craft-repair,other_relative,white,0,0,0,40,united-states,0
36,private,bachelors,divorced,prof-specialty,child,white,1,0,0,40,united-states,0
45,private,hs_grad,married,sales,husband,white,0,0,0,60,united-states,0
17,private,hs_grad,unmarried,other-service,child,white,0,0,0,12,united-states,0
59,private,bachelors,married,sales,husband,white,0,4064,0,40,united-states,0
26,private,hs_grad,married,craft-repair,husband,white,0,0,0,40,united-states,0
37,self_emp_inc,bachelors,married,exec-managerial,husband,asian_pac_islander,0,0,0,75,thailand,1
19,unknown,bachelors,unmarried,unknown,child,white,0,0,0,24,canada,0
64,private,hs_grad,married,exec-managerial,husband,white,0,0,0,40,united-states,1
33,private,bachelors,unmarried,prof-specialty,other_relative,white,1,0,0,45,united-states,0
33,private,hs_grad,married,craft-repair,wife,white,1,0,0,40,united-states,1
61,private,hs_grad,married,exec-managerial,husband,white,0,0,0,40,united-states,1
17,private,below_hs_grad,unmarried,other-service,child,white,0,1055,0,24,united-states,0
50,self_emp_not_inc,master,married,farming-fishing,husband,white,0,2407,0,98,united-states,0
27,local_gov,master,unmarried,prof-specialty,child,white,0,0,0,35,united-states,0
30,private,hs_grad,divorced,prof-specialty,child,white,1,0,0,40,united-states,0
43,private,hs_grad,married,handlers-cleaners,husband,black,0,0,0,40,united-states,0
44,private,bachelors,married,craft-repair,husband,white,0,7298,0,40,united-states,1
35,private,bachelors,unmarried,exec-managerial,other_relative,white,1,0,0,40,united-states,0
25,private,bachelors,unmarried,tech-support,child,white,1,0,0,40,united-states,0
24,private,bachelors,married,machine-op-inspct,wife,white,1,7298,0,48,united-states,1
22,private,bachelors,unmarried,prof-specialty,other_relative,white,1,0,0,15,germany,0
42,local_gov,bachelors,married,craft-repair,husband,white,0,5178,0,40,united-states,1
34,private,associate,divorced,sales,other_relative,black,1,0,0,45,united-states,0
60,private,bachelors,divorced,prof-specialty,other_relative,white,1,0,0,42,united-states,0
21,private,hs_grad,unmarried,handlers-cleaners,child,white,0,0,0,40,united-states,0
57,federal_gov,master,married,sales,husband,white,0,15024,0,40,united-states,1
41,private,bachelors,married,prof-specialty,husband,white,0,0,0,60,united-states,1
50,private,bachelors,divorced,other-service,other_relative,white,0,0,0,45,united-states,0
25,private,bachelors,unmarried,exec-managerial,other_relative,white,1,0,0,40,united-states,0
50,private,below_hs_grad,married,craft-repair,husband,white,0,0,0,40,ecuador,0
36,private,bachelors,married,prof-specialty,husband,white,0,0,0,45,united-states,0
31,private,hs_grad,divorced,prof-specialty,other_relative,white,1,0,0,40,united-states,0
29,local_gov,bachelors,unmarried,protective-serv,other_relative,white,0,0,0,56,united-states,0
21,private,bachelors,unmarried,sales,child,white,0,0,0,45,united-states,0
27,private,bachelors,unmarried,tech-support,other_relative,black,1,0,0,40,united-states,0
65,private,hs_grad,married,transport-moving,husband,white,0,0,0,16,united-states,0
37,self_emp_inc,bachelors,divorced,sales,other_relative,white,1,0,0,60,united-states,0
39,unknown,master,married,unknown,wife,asian_pac_islander,1,3464,0,40,?,0
24,private,hs_grad,unmarried,craft-repair,child,white,0,0,0,40,united-states,0
38,private,hs_grad,divorced,sales,other_relative,white,0,0,0,80,united-states,0
48,private,bachelors,married,adm-clerical,husband,white,0,7688,0,40,united-states,1
21,private,bachelors,unmarried,other-service,other_relative,asian_pac_islander,1,0,0,25,united-states,0
31,private,hs_grad,married,transport-moving,husband,white,0,0,0,45,united-states,1
55,private,hs_grad,married,sales,husband,white,0,4386,0,40,united-states,1
24,private,bachelors,married,adm-clerical,wife,asian_pac_islander,1,0,0,40,laos,0
43,private,hs_grad,divorced,adm-clerical,other_relative,white,1,0,0,40,united-states,0
26,private,associate,unmarried,tech-support,other_relative,white,0,0,0,45,united-states,0
46,private,associate,unmarried,prof-specialty,other_relative,white,1,0,0,33,united-states,0
35,private,associate,married,adm-clerical,husband,white,0,0,0,40,united-states,1
41,self_emp_inc,bachelors,married,farming-fishing,husband,white,0,0,0,54,united-states,1
26,private,bachelors,unmarried,sales,other_relative,white,0,0,0,40,united-states,0
34,private,master,married,exec-managerial,husband,asian_pac_islander,0,7298,0,35,taiwan,1
19,unknown,bachelors,unmarried,unknown,child,black,1,0,0,25,united-states,0
36,self_emp_not_inc,bachelors,divorced,prof-specialty,other_relative,black,1,0,0,40,united-states,1
22,private,bachelors,unmarried,sales,child,white,0,0,0,15,united-states,0
24,private,bachelors,unmarried,machine-op-inspct,other_relative,white,0,0,0,40,united-states,0
77,self_emp_not_inc,bachelors,married,sales,husband,white,0,0,0,40,united-states,0
22,private,below_hs_grad,married,machine-op-inspct,other_relative,white,1,0,0,40,mexico,0
29,private,bachelors,unmarried,tech-support,other_relative,white,1,0,0,40,united-states,0
62,private,hs_grad,widowed,other-service,other_relative,white,1,0,0,24,united-states,0
39,self_emp_not_inc,hs_grad,married,exec-managerial,husband,white,0,0,0,40,united-states,0
43,private,bachelors,married,craft-repair,husband,white,0,0,1485,50,united-states,0
35,private,hs_grad,divorced,transport-moving,other_relative,white,0,0,0,45,united-states,0
29,private,hs_grad,unmarried,exec-managerial,other_relative,white,1,0,0,40,united-states,0
76,self_emp_not_inc,master,married,craft-repair,husband,white,0,0,0,10,united-states,0
63,self_emp_not_inc,hs_grad,married,farming-fishing,husband,white,0,0,0,45,united-states,0
23,unknown,associate,unmarried,unknown,child,black,1,0,0,15,united-states,0
43,private,bachelors,married,prof-specialty,wife,white,1,0,1887,50,united-states,1
58,self_emp_not_inc,hs_grad,married,handlers-cleaners,husband,white,0,0,0,40,united-states,0
66,private,hs_grad,unmarried,transport-moving,other_relative,white,0,2050,0,55,united-states,0
41,private,bachelors,unmarried,craft-repair,other_relative,black,0,0,0,45,united-states,0
26,private,bachelors,unmarried,adm-clerical,other_relative,white,0,0,0,40,united-states,0
47,private,associate,unmarried,other-service,other_relative,white,0,0,0,40,united-states,0
55,local_gov,below_hs_grad,married,adm-clerical,husband,white,0,0,0,40,united-states,0
53,private,hs_grad,married,transport-moving,husband,white,0,0,0,40,united-states,0
17,private,below_hs_grad,unmarried,other-service,other_relative,white,0,0,0,48,mexico,0
30,private,hs_grad,unmarried,craft-repair,other_relative,white,0,0,0,40,united-states,0
49,private,master,unmarried,prof-specialty,other_relative,white,0,0,0,60,united-states,0
19,private,hs_grad,unmarried,sales,other_relative,black,0,0,0,30,haiti,0
45,private,hs_grad,married,other-service,husband,black,0,0,0,40,united-states,0
26,private,associate,unmarried,sales,other_relative,white,0,0,0,40,united-states,0
38,private,associate,married,craft-repair,husband,white,0,7298,0,40,united-states,1
36,state_gov,hs_grad,married,protective-serv,husband,white,0,7298,0,40,united-states,1
33,private,hs_grad,unmarried,farming-fishing,other_relative,white,0,0,0,20,united-states,0
22,state_gov,bachelors,unmarried,protective-serv,child,black,1,0,0,40,united-states,0
43,self_emp_not_inc,bachelors,unmarried,sales,other_relative,white,0,0,0,42,united-states,0
67,unknown,hs_grad,married,unknown,husband,white,0,0,0,8,united-states,0
30,unknown,associate,divorced,unknown,other_relative,white,1,0,0,40,united-states,0
